time,cumate,od,fluorescence,phi,growth_rate,production_rate,od_se,fluorescence_se,phi_se,growth_rate_se,production_rate_se
10.27472222,125,0.334566667,87.11111111,273.0966925,0.010223645,12.21262602,0.028054035,1.263201889,19.3294392,0.016570686,2.663370722
10.56,125,0.337888889,88.33333333,275.2995936,-0.003402372,7.240877659,0.028738464,1.08012345,20.78485146,0.012484831,1.926388468
10.84555556,125,0.338677778,89.11111111,276.093859,-0.002117863,9.248952874,0.028147724,1.20697561,19.99923556,0.010287623,3.136364485
11.13083333,125,0.336788889,89.77777778,279.9373769,0.021392499,3.340045334,0.027878528,1.175889472,20.83544004,0.0108087,1.684245441
11.41611111,125,0.336822222,90.66666667,283.1985501,-0.004238459,7.257237664,0.028187476,1.154700538,21.55387482,0.011556014,3.6705377
11.70166667,125,0.340433333,91.66666667,283.6765022,-0.001644859,7.519234459,0.02846773,1.08012345,22.16788273,0.009462409,2.590456934
11.98694444,125,0.3385,92.22222222,286.3923152,0.00096407,9.849404644,0.028099941,1.199279619,21.73752376,0.010920693,1.489072984
12.2725,125,0.337422222,93.11111111,290.0987072,0.012832985,10.59548203,0.028070743,1.25215863,22.08031114,0.014208083,5.085167937
12.55777778,125,0.341777778,93.77777778,288.9714164,0.029698038,19.3405865,0.028678238,1.222222222,22.52506707,0.018804159,10.94638992
12.84333333,125,0.3401,94.11111111,291.0129567,0.04648592,42.16889156,0.02821516,1.218428456,22.35006215,0.021895166,18.4060147
13.12861111,125,0.3386,95.11111111,295.5899659,0.075522689,67.76670064,0.028481524,1.295767088,22.72909177,0.032288151,32.1921582
13.41416667,125,0.340055556,95.66666667,296.7657283,0.054368969,99.91197017,0.028957277,1.301708279,23.62733509,0.039128958,37.75682781
13.69944444,125,0.342188889,96.22222222,296.3569948,0.091249722,120.033126,0.029087461,1.441235752,23.28596069,0.045418812,38.07968012
13.98472222,125,0.340833333,96.88888889,299.4378792,0.132067875,119.8675907,0.028733604,1.378852627,23.49619321,0.047468332,42.3485886
